"id","name","namespace","visibility","status","description","access_key_id","account","password","mobile","email","avatar","roles","tags","content","metrics","extra","owner_id","maintainer_id","created_at","updated_at","version","edition"
"b3ba6584-3e22-47fc-bd47-770c1d1c55c0","alice","dc:user","internal","active","","SsuJAujkjQ8pr1ntIfQY","","","","","","{admin}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2022-12-16 18:34:01.4012+08","2022-12-16 18:34:01.401206+08",0,0
"2fc3c930-0d99-46e5-a1b2-8f3d6b61771e","bob","dc:user","internal","active","","uiaTnFjGwY9uJc5RbPZZ","","","","","","{worker}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2022-12-16 18:34:34.316352+08","2022-12-16 18:34:34.316372+08",0,0
"67c96d3f-e020-4ed5-8608-6234abd29063","carol","dc:user","internal","active","","kHUze4mBkaQH4mwIfRBT","","","","","","{admin,worker}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2022-12-16 18:46:28.686262+08","2022-12-16 18:46:28.68628+08",0,0
"06fdaacd-3d02-48eb-9f7c-64349451dce4","dave","dc:user","internal","active","","d1l2hlKrOA1twJKWep6X","","","","","","{worker}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2022-12-16 18:46:43.224728+08","2022-12-16 18:46:43.224736+08",0,0
"316de34b-88ba-4f08-bf50-27449de28dd5","eve","dc:user","internal","active","","MqtTxBQq28QcK6cNxZaA","","","","","","{auditor}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2022-12-16 18:47:05.391224+08","2022-12-16 18:47:05.391273+08",0,0
"620ac06f-b2b3-45b6-8509-bc6692b9d22d","frid","dc:user","internal","active","","LwgWVfdW59oyYCHEjJkQ","","","","","","{auditor,worker}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2022-12-16 19:29:57.196914+08","2022-12-16 19:29:57.196921+08",0,0
"cad561d5-ff6e-4323-bdb1-ce304cf7fd08","grace","dc:user","internal","active","","kQ1vvrdnAK5gQI0rJxtD","","","","","","{worker}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2022-12-16 19:30:11.000058+08","2022-12-16 19:30:11.000065+08",0,0
"329000bb-f36d-477b-9fcc-4d728e6b63b9","tom","dc:user","internal","active","","nSIUIMMNHtCBr2Bd1v5f","","","","","","{worker}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2023-01-27 15:34:37.770765+08","2023-01-27 15:34:37.770777+08",0,0
"0b8b59c3-fe72-45a8-b9e9-f670d2cfb2ca","peter","dc:user","internal","active","","b3VJCpJWH3kpo9hc1MNZ","","","","","","{worker}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2023-01-27 15:52:14.224398+08","2023-01-27 15:52:14.224408+08",0,0
"dbb56a21-7e6b-4702-b069-1f337645a8e6","peter","dc:user","internal","active","","qsOHvYfJQALId5QEazzh","","","","","","{worker}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2023-01-27 16:59:25.898107+08","2023-01-27 16:59:25.898155+08",0,0
"0eb846c2-7c09-4a7b-b7c8-78092f1a85e1","zino","dc:user","internal","active","","6kimxTOU0f3ysxqUKDgW","","","","","","{worker,auditor}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2023-02-18 21:09:42.466218+08","2023-02-18 21:09:42.466256+08",0,0
"f944a630-3677-4559-9de2-8723e9c26d08","zino","dc:user","internal","active","","6DI5DP8dbuNvTHnMA07r","","","","","","{worker,auditor}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2023-02-18 21:38:23.270831+08","2023-02-18 21:38:23.270865+08",0,0
"b5b261ed-b1c1-46a3-88c7-a22b9eb76b40","bob","dc:user","internal","active","","XXcwVoahGQrsDdlG7s73","","","","","","{admin,worker}","{}","{}","{}","{}","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","2023-02-18 21:42:13.0111+08","2023-02-18 21:42:13.011111+08",0,0
